date,lb_m_1,lb_m_3,lb_m_6,lb_m_12,lb_m_orig_1,lb_m_orig_3,lb_m_orig_6,lb_m_orig_12,lb_cylr_1,lb_cylr_3,lb_cylr_6,lb_cylr_12,lb_cylr_orig_1,lb_cylr_orig_3,lb_cylr_orig_6,lb_cylr_orig_12
1993-03-16,1.5856084874390988,1.690209590506999,1.5688324158546616,1.5180272271424116,,,,,1.6853257052401265,1.9129824000476712,1.8580130379784454,1.8822559940910206,,,,
1993-03-17,1.577995114837504,1.7715174098387538,1.6091428488082138,1.554017630679484,,,,,1.6570042187957874,2.001142268547969,1.8888173428991204,1.8994908062708964,,,,
1993-03-18,1.434150063283524,1.6555019701665705,1.6047180817787836,1.5487250065970841,,,,,1.5151013986485227,1.8520740770737034,1.9227454232689554,1.930772425700766,,,,
1993-03-19,1.2608873846465969,1.5098218832851862,1.5308944263019038,1.5169370592242,,,,,1.3260214753804558,1.6748966621251704,1.7891205969912574,1.8591798651949007,,,,
1993-03-22,1.3432877908364786,1.5866757003923333,1.7144618614090934,1.7573716055143525,,,,,1.432572671318692,1.771750872419168,2.034185770467073,2.122309666121536,,,,
1993-03-23,1.238902980971275,1.5456586426854553,1.7575036836995996,1.8281186973709809,,,,,1.3034860286682781,1.7163715204437744,2.04607573426924,2.1559771388777285,,,,
1993-03-24,1.1758209155590715,1.494650291802633,1.6547995265856996,1.7077857046366023,,,,,1.231177170037703,1.6608676445994068,1.9385321810368437,2.030398886400903,,,,
1993-03-25,1.0921686747367247,1.4144711197456024,1.6204248297211459,1.6880514210563988,,,,,1.1488839887310334,1.5679024335228418,1.9221786885628283,2.0385082051431227,,,,
1993-03-26,1.144898093207237,1.4798296561062823,1.6320779644462384,1.6816869637929655,,,,,1.202001005839309,1.6308076021374827,1.8925868552944152,1.9778857130646514,,,,
1993-03-29,1.1821899752993077,1.4566350093753428,1.6301979038964534,1.6854224612440798,,,,,1.241731898872125,1.6275973135192874,1.9278445724770448,2.0233777912363307,,,,
1993-03-30,1.0980642638994929,1.4500242380165917,1.6019206662111176,1.649857561801025,,,,,1.1561739374234516,1.6218263481191215,1.9026196580447436,1.9912350372227918,,,,
1993-03-31,1.1708701356086155,1.4790719047543204,1.6421404297030404,1.693177143618289,,,,,1.2284383007717063,1.6436479338732628,1.9184581272130468,2.0044674243651923,,,,
1993-04-01,1.2974694640614897,1.5042167453551205,1.6275097683184052,1.6459486097149374,,,,,1.3693540590281075,1.679366278945085,1.8956071183555085,1.9663622542818826,,,,
1993-04-02,1.5641719151694602,1.7351152918020574,1.77171587925632,1.7240838908938274,,,,,1.6758818476266042,1.9337697236101772,2.032236585879903,2.01081830531862,,,,
1993-04-05,1.4471055409051112,1.6974517426538427,1.7855338417408444,1.7314802274006422,,,,,1.5272632306327236,1.900194490399719,2.075120488248251,2.043142092130064,,,,
1993-04-06,1.4973145554951242,1.7326941818519304,1.8036536026449705,1.755745294930676,,,,,1.6051589875161416,1.9387194538719048,2.0834688870167954,2.061183404798263,,,,
