bound,truncation,horizon,date,smean,tight,rbound,rgw,rgwbound,rcombo_gw,rcombo_gwbound,outcome,mkt,zero
lb_cylr,not_truncated,1,1996-12-31,13.896336053124056,4.286625147277122,15.832868936610662,12.021543995446791,18.02839975658557,11.824958035505105,12.86064704431458,66.04547519595067,8.119148936170212,0.0
lb_cylr,not_truncated,1,1997-01-31,13.66421719485424,3.433683203973656,15.081137531396841,14.271411082977068,17.81453301872947,12.802389176539286,13.233303185696762,4.11914712891992,8.180118063754426,0.0
lb_cylr,not_truncated,1,1997-02-28,14.281609662771114,4.163370613842698,16.643731023187694,12.14854984185422,18.786986953321584,12.587144531571763,13.434377097171438,-50.84643013190426,8.163537735849056,0.0
lb_cylr,not_truncated,1,1997-03-31,13.911979206334692,4.551042945716455,15.801810761708087,9.924384807565389,13.457259213593558,11.483040372338925,12.69750978933681,55.32357426644019,8.082968197879858,0.0
lb_cylr,not_truncated,1,1997-04-30,13.559090890502462,3.722159284365772,15.078504210557654,10.205878377814997,10.31518264633908,12.688935203240675,13.124013046871568,67.41581751917636,8.130494117647059,0.0
lb_cylr,not_truncated,1,1997-05-31,13.846219398233211,3.3972795349525,15.173775053541814,21.983355472810445,25.061678684140936,13.92183154572487,13.88402547197904,47.98214665794491,8.215981198589894,0.0
lb_cylr,not_truncated,1,1997-06-30,15.034109658998974,4.201620051227117,17.742206376599214,24.68660413150201,30.041300437637094,14.592883256988658,14.813496457993816,88.77691587736027,8.264084507042252,0.0
lb_cylr,not_truncated,1,1997-07-31,16.199284600175663,4.54743047886646,20.37650769664865,28.31918796830587,35.64947630956493,16.774659888685353,16.486972244430508,-70.7153239757508,8.357514654161783,0.0
lb_cylr,not_truncated,1,1997-08-31,16.634607692407794,5.937859159845036,21.26503839847542,14.285932017798586,20.26281942304541,14.170517153561388,15.402562422984591,59.1999739118461,8.289414519906323,0.0
lb_cylr,not_truncated,1,1997-09-30,16.20555620745852,5.046140650771433,20.72539205716968,17.87691108551894,21.30101976794836,15.206451371933952,15.706003789696236,-38.861605551298425,8.354807017543859,0.0
lb_cylr,not_truncated,1,1997-10-31,22.2122925484199,11.644997010644175,34.08682885502102,28.053682682218778,33.59265934873342,16.370525023285225,19.29140878585256,71.06553771867752,8.29177570093458,0.0
lb_cylr,not_truncated,1,1997-11-30,18.56770726442519,7.480696352497793,29.27749414427826,9.442092906968355,22.16406509511035,15.666512888520048,17.11711007647262,14.8498533316471,8.323827304550758,0.0
lb_cylr,not_truncated,1,1997-12-31,16.633525289987578,5.585649682615737,22.460420552268808,5.259171747897653,10.483511896046249,15.451368302026099,16.04244679600684,34.4973023218488,8.332587412587413,0.0
lb_cylr,not_truncated,1,1998-01-31,15.863642061084366,4.629685442963972,19.812980715894806,6.069088667131382,5.6436213583027595,15.699054840159501,15.781348450621934,83.80401369488881,8.32498253783469,0.0
