permno,secid,sp_beg,sp_end,lnk_beg,lnk_end
90520.0,122791.0,2018-12-24,2020-12-31,2005-01-21,2030-12-31
90537.0,108175.0,2001-01-16,2009-03-26,1996-01-01,2030-12-31
90537.0,108175.0,2011-01-18,2015-07-17,1996-01-01,2030-12-31
90547.0,123096.0,2011-06-02,2012-10-01,2005-02-15,2015-07-15
90601.0,115885.0,2008-10-22,2020-12-31,2005-02-10,2030-12-31
90609.0,108265.0,1991-11-01,2011-04-27,1996-01-02,2011-04-27
90664.0,123611.0,2020-05-12,2020-12-31,2005-04-14,2030-12-31
90805.0,124166.0,2010-03-01,2020-12-31,2005-07-21,2030-12-31
90808.0,124209.0,2007-10-02,2020-12-31,2005-08-09,2030-12-31
90829.0,124758.0,2008-08-27,2020-12-31,2005-08-11,2030-12-31
90880.0,124943.0,2005-10-03,2020-12-31,2005-10-03,2030-12-31
90979.0,125183.0,2014-05-01,2020-12-31,2005-11-18,2030-12-31
90993.0,125175.0,2007-09-26,2020-12-31,2005-11-16,2030-12-31
91041.0,125279.0,2019-12-23,2020-12-31,2005-12-22,2030-12-31
91063.0,125237.0,2006-01-03,2019-12-04,2006-01-03,2030-12-31
91068.0,125504.0,2011-04-28,2020-12-31,2006-01-26,2030-12-31
91103.0,125537.0,2015-09-03,2020-12-31,2006-02-02,2030-12-31
91143.0,125812.0,2007-10-25,2013-11-12,2006-03-08,2013-11-12
91152.0,125971.0,2016-06-03,2020-12-31,2006-03-15,2030-12-31
91207.0,110488.0,2006-04-10,2016-09-22,2006-04-10,2016-09-22
91218.0,126835.0,2006-05-18,2009-06-30,2006-05-18,2009-06-30
91233.0,126938.0,2008-07-18,2020-12-31,2006-05-25,2030-12-31
91380.0,109528.0,1987-01-08,2006-01-31,1996-01-02,2006-01-31
91388.0,127222.0,2006-08-01,2007-04-09,2006-08-01,2007-04-09
91391.0,123082.0,2006-07-18,2015-04-06,2006-07-19,2018-05-28
91392.0,127317.0,2006-08-01,2018-05-30,2006-08-01,2030-12-31
91416.0,127473.0,2015-03-23,2020-12-31,2006-09-06,2030-12-31
91461.0,127593.0,2006-10-02,2020-12-31,2006-10-02,2030-12-31
91547.0,127813.0,2009-12-21,2013-09-20,2006-10-13,2030-12-31
91547.0,127813.0,2019-08-09,2020-12-31,2006-10-13,2030-12-31
91556.0,109706.0,2009-12-21,2020-12-31,1996-01-02,2030-12-31
91611.0,128220.0,2009-10-16,2017-03-17,2006-11-17,2030-12-31
91650.0,128604.0,2007-01-03,2017-02-27,2007-01-03,2017-02-24
91668.0,128575.0,2018-03-07,2020-12-31,2006-12-13,2030-12-31
91849.0,129172.0,2018-06-18,2020-12-31,2007-04-02,2030-12-31
